,ES,FESX,NK
2013-01-31,1.0,1.0,1.0
2013-02-28,1.0037728780499104,0.9751367730550504,1.0210722628103648
2013-03-31,1.0388745668788422,0.9775567425595203,1.0892024254269048
2013-04-30,1.0640908816841956,0.9999806142374797,1.2541148842283418
2013-05-31,1.0994430303760379,1.0344208727049706,1.2274199293099164
2013-06-30,1.0795741901048803,0.9814982198090809,1.2833273697504994
2013-07-31,1.1293894034756773,1.0347661490937108,1.2523601124920367
2013-08-31,1.0840381246023563,1.0074161082236641,1.176942314132537
2013-09-30,1.1121164756478437,1.0532382187164833,1.2353933075500356
2013-10-31,1.153401488403056,1.1051377294247877,1.231063183611984
2013-11-30,1.186090918260679,1.1207715980681057,1.3507188094105278
2013-12-31,1.21819175789182,1.1342671076367281,1.3999126182806416
2014-01-31,1.185513604545584,1.1203905809943848,1.2790862935929919
2014-02-28,1.2713557118387522,1.1873203471774914,1.3503180377494526
2014-03-31,1.2916728521428689,1.2324477071474906,1.384113555435572
2014-04-30,1.2926246219025437,1.2444843095529026,1.3275938978192643
2014-05-31,1.3231060131843362,1.290012894322198,1.3510579305029067
2014-06-30,1.349716281057059,1.2856042217656212,1.3602039218695006
2014-07-31,1.3221265667508857,1.2340862931667769,1.3676816817794026
2014-08-31,1.3796621822179855,1.2718465379333377,1.3696484446985573
2014-09-30,1.3619555957598037,1.2986601701999323,1.413596728084278
2014-10-31,1.4137764380116518,1.2670222664157664,1.5255699935255949
2014-11-30,1.4527371944504655,1.3386609873981385,1.5345407935192459
2014-12-31,1.4606473695429336,1.3043516157488642,1.5186601645675972
2015-01-31,1.4211223272426947,1.3974645799132779,1.5260972421741774
2015-02-28,1.4819966793438624,1.491295579075046,1.6315200892278978
2015-03-31,1.4511440890568805,1.5426572701013759,1.661115996016439
2015-04-30,1.4699262720215747,1.5121207281988307,1.6815345504731418
2015-05-31,1.4735932079322638,1.504357228096399,1.7447806183953112
2015-06-30,1.4415370863240986,1.4538499223657702,1.7153472637794218
2015-07-31,1.4614460806162022,1.5022830607237514,1.7205302541739316
2015-08-31,1.3807733698156646,1.3589124168808504,1.585698627950768
2015-09-30,1.3838509342707546,1.3298864321828823,1.5719099611452791
2015-10-31,1.4985440706056803,1.4806695914416468,1.6818487125335013
2015-11-30,1.4879861793096105,1.5132978514204074,1.7511564938270396
2015-12-31,1.4491588657438734,1.4333507629197004,1.6448989628383344
2016-01-31,1.3949998240204289,1.3813428644895343,1.6139637549745915
2016-02-29,1.3953700414886407,1.3492021754733208,1.4583949089509087
2016-03-31,1.454473527303394,1.3582472080975678,1.4876041340850934
2016-04-30,1.450836846989469,1.4072454253075282,1.4696879435327495
2016-05-31,1.4659801842056543,1.4438413331532565,1.5547824579715397
2016-06-30,1.469081193157881,1.3768148025834173,1.463383761089144
2016-07-31,1.5198755708093568,1.4316353063706317,1.5351761735585054
2016-08-31,1.5235536771195677,1.4633436275241687,1.5779433201480013
2016-09-30,1.5250565606855966,1.4626293870251703,1.5493223041073494
2016-10-31,1.501744789394457,1.4984111345475422,1.6217831586781195
2016-11-30,1.5703181208546995,1.5191113621945498,1.7507574981050018
2016-12-31,1.6060370886345599,1.6543674619695719,1.8115668146616732
2017-01-31,1.6219293108399326,1.6243787641939158,1.7802486973553748
2017-02-28,1.6850547555488418,1.662462984861816,1.781104388820387
2017-03-31,1.663650741418158,1.722158573860944,1.7357671254272975
2017-04-30,1.681248506349078,1.7753042164271604,1.7539056088311495
2017-05-31,1.6985305507784296,1.789609463837173,1.782805175172668
2017-06-30,1.6943799942019027,1.7290652749674145,1.7963292968187619
2017-07-31,1.7246009968172087,1.712399131100329,1.775203534085347
2017-08-31,1.7236582374202825,1.6893541745598615,1.7459897768016284
2017-09-30,1.7543279617653402,1.7616732346696162,1.8155892811948808
2017-10-31,1.7867781294861247,1.8062666606957192,1.9694485782126994
2017-11-30,1.8379148003258208,1.7470077018152457,1.9999334390139265
2017-12-31,1.8589828397000776,1.7392480544724644,2.0070954665379226
